name,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing
Roberto Firmino,25,SS,1,38,2196,8.5,20.30%,180,3,Brazil,0,3,10,1,0
Philippe Coutinho,25,AM,1,45,2958,9,30.80%,171,3,Brazil,0,3,10,1,0
Sadio Mane,25,LW,1,40,3219,9.5,5.30%,156,4,Senegal,0,3,10,1,1
Georginio Wijnaldum,26,CM,2,28,1280,7,7.10%,149,2,Netherlands,0,3,10,1,1
James Milner,31,CM,2,12,1824,6.5,10.40%,139,1,England,0,4,10,1,0
Adam Lallana,29,AM,1,25,1808,7.5,6.40%,139,1,England,0,4,10,1,0
Nathaniel Clyne,26,RB,3,21,602,5.5,4.50%,129,1,England,0,3,10,1,0
Simon Mignolet,29,GK,4,12,721,5,1.60%,110,2,Belgium,0,4,10,1,0
Dejan Lovren,28,CB,3,17,708,5.5,1.30%,106,2,Croatia,0,4,10,1,0
Emre Can,23,DM,2,15,1253,5,6.60%,104,2,Germany,0,2,10,1,0
Joel Matip,25,CB,3,25,1313,5.5,2.30%,97,2,Cameroon,0,3,10,1,1
Divock Origi,22,CF,1,12,1092,7.5,0.40%,96,2,Belgium,0,2,10,1,0
Jordan Henderson,27,CM,2,28,1236,5.5,1.80%,73,1,England,0,3,10,1,0
Daniel Sturridge,27,CF,1,20,2042,8,4.30%,54,1,England,0,3,10,1,0
Lucas Leiva,30,DM,2,7,998,4.5,0.30%,47,3,Brazil,0,4,10,1,0
Ragnar Klavan,31,CB,3,3.5,875,4.5,0.40%,43,2,Estonia,0,4,10,1,1
Mamadou Sakho,27,CB,3,15,934,5,0.10%,35,2,France,0,3,10,1,0
Loris Karius,24,GK,4,8,1255,5,0.20%,32,2,Germany,0,2,10,1,0
Trent Alexander-Arnold,18,RB,3,1.5,327,4.5,0.30%,15,2,England,0,1,10,1,0
Alberto Moreno,25,LB,3,10,397,4.5,0.30%,8,2,Spain,0,3,10,1,0
Ben Woodburn,17,LW,1,1.5,1241,4.5,0.10%,5,1,Wales,0,1,10,1,0
Marko Grujic,21,CM,2,5,615,4.5,0.20%,4,2,Serbia,0,1,10,1,0
Joe Gomez,20,CB,3,4,460,4.5,0.40%,0,1,England,0,1,10,1,0
Sheyi Ojo,20,LW,1,2,383,5,0.10%,0,1,England,0,1,10,1,0
Mohamed Salah,25,RW,1,35,1117,9,12.40%,0,4,Egypt,1,3,10,1,0
Danny Ings,24,CF,1,8,748,5.5,0.10%,0,1,England,0,2,10,1,0
Dominic Solanke,19,CF,1,2,671,5,2.00%,0,1,England,0,1,10,1,0
